DPRCode,DPRDate,Status,UserCode,ShiftCode,DEPTID,AccountCode,AccountName,Doc
13864,2026-05-31 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-02 15:34:06.195000
13865,2026-06-01 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-07 10:33:55.914000
13866,2026-06-02 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-07 10:34:47.749000
13867,2026-06-03 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-07 10:36:30.537000
13868,2026-06-04 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-07 10:38:06.216000
13869,2026-06-06 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-07 10:39:49.842000
13870,2026-06-07 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-13 12:44:22.688000
13871,2026-06-08 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-13 12:46:22.914000
13872,2026-06-09 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-13 12:48:09.048000
13873,2026-06-10 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-13 12:50:34.289000
13874,2026-06-11 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-13 12:53:25.123000
13875,2026-06-13 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-14 12:43:39.181000
13876,2026-06-14 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-15 12:26:48.486000
13877,2026-05-31 00:00,0,USMAN,,03,100001,INVENTORY A/C,2026-06-16 11:09:52.422000
13878,2026-06-15 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-16 11:48:21.947000
13879,2026-06-16 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-17 11:04:38.702000
13880,2026-06-17 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-18 13:03:44.628000
13881,2026-06-20 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-21 09:22:39.791000
13882,2026-06-21 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-22 10:49:14.217000
13883,2026-06-24 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-27 09:23:25.737000
13884,2026-06-25 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-27 09:30:46.203000
13885,2026-06-27 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-28 14:45:15.489000
13886,2026-06-28 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-29 09:19:12.588000
13887,2026-06-29 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-06-30 09:42:19.125000
13888,2026-06-30 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-01 09:35:58.133000
13889,2026-07-01 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-02 14:52:47.505000
13890,2026-07-02 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-04 12:22:24.879000
13891,2026-07-04 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-11 16:16:37.894000
13892,2026-07-05 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-11 16:18:00.400000
13893,2026-07-06 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-11 16:21:08.745000
13894,2026-07-07 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-11 16:23:22.145000
13895,2026-07-08 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-11 16:24:52.265000
13896,2026-07-09 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-11 16:27:18.308000
13897,2026-07-11 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-13 09:11:44.246000
13898,2026-07-12 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-15 08:50:25.404000
13899,2026-07-13 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-15 08:52:06.797000
13900,2026-07-14 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-15 11:25:48.926000
13901,2026-07-15 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-18 11:42:23.407000
13902,2026-07-16 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-18 11:45:08.481000
13903,2026-07-18 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-19 14:46:53.887000
13904,2026-07-19 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-20 09:14:23.248000
13905,2026-07-20 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-23 11:58:34.536000
13906,2026-07-21 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-23 12:00:34.216000
13907,2026-07-22 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-23 12:02:08.523000
13908,2026-06-30 00:00,0,USMAN,,03,100001,INVENTORY A/C,2026-07-26 12:20:12.318000
13909,2026-07-23 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-26 14:11:16.523000
13910,2026-07-26 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-07-27 10:21:37.924000
13911,2026-07-27 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-08-01 09:08:49.604000
13912,2026-07-28 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-08-01 09:15:10.431000
13913,2026-07-29 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-08-01 09:16:56.293000
13914,2026-07-30 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-08-01 09:18:13.718000
13915,2026-08-01 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-08-02 11:06:23.675000
13916,2026-08-02 00:00,0,Mudassar,,03,100001,INVENTORY A/C,2026-08-03 12:08:54.022000
