type,code,name,opening,current,active
Customer,100373,ALI SUPER STORE DOLAT NAGAR,0.0,0.0,True
Customer,100374,RAZZAQ TRADER BHADDAR,0.0,0.0,True
Customer,100375,BABA JEE KERYANA BHADDAR,0.0,0.0,True
Customer,100377,SALEEM TRADERS KOTLA,0.0,0.0,True
Customer,100378,SMART GENERAL STORE BAANIYAN,0.0,0.0,True
Customer,100379,MUDASSAR BUTT BAKHRANWALI,0.0,0.0,True
Customer,100381,MUHAMMAD SHAFIQUE,0.0,0.0,True
Customer,100383,NAEEM AZAM TIAL FIXER,0.0,0.0,True
Customer,100384,NAEEM TRADERS KOTLA,0.0,0.0,True
Customer,100386,FARMS RECEIVABLES A/C,0.0,0.0,True
Customer,100387,HAJI BASHIR SB (LANDI KOTAL),0.0,0.0,True
Customer,100388,MOHSIN LALAMUSA (PAINT WORK),0.0,0.0,True
Customer,100389,M. TARIQ DULTALA,0.0,0.0,True
Customer,100390,AL HAIDER TRADERS JPJ,0.0,0.0,True
Customer,100391,NADEEM KARYANA,0.0,0.0,True
Customer,100392,ABDULLAH GENERAL STORE,0.0,0.0,True
Customer,100393,DUBAI ISLAMIC BANK,0.0,0.0,True
Customer,100394,GULSHAN SOAP KALASHAHKAKO,0.0,0.0,True
Customer,100395,HAJI AFZAL TRADERS POOCH,0.0,0.0,True
Customer,100396,KHAN TRADERS QUAIDABAD,0.0,0.0,True
Customer,100397,ZUBAIR TRADERS DOTALA,0.0,0.0,True
Customer,100398,SEITH RIZWAN BHERA,0.0,0.0,True
Customer,100399,FATIMA GENERAL STORE,0.0,0.0,True
Customer,100400,BABA GENERAL STORE,0.0,0.0,True
Customer,100401,YOUNAS RADDI PACKAGES,0.0,0.0,True
Customer,100402,AL MADINA KARYANA JPS,0.0,0.0,True
Customer,100404,POPULAR KARYNA DINGA,0.0,0.0,True
Customer,100405,JAAN MUHAMMAD LIYYAH,0.0,0.0,True
Customer,100406,HAJI GHULLAM QADIR LALAMUSA,0.0,0.0,True
Customer,100408,HAMZA TRADERS RAILWAY ROAD GUJRAT,0.0,0.0,True
Customer,100409,QAMAR TRADERS RAILWAY ROAD GUJRAT,0.0,0.0,True
Customer,100410,WALEED TRADERS SHAH JAHANGIR ROAD GUJRAT,0.0,0.0,True
Customer,100411,NADEEM AKHTER LAHORE,0.0,0.0,True
Customer,100413,ABBAS SOAP FACTORY,0.0,0.0,True
Customer,100414,FAYYAZ SB MISC A/C,0.0,0.0,True
Customer,100417,ASHFAQ TRADERS RAWALPINDI,0.0,0.0,True
Customer,100418,SAID RASOOL DANDI DARA,0.0,0.0,True
Customer,100419,CH ASIF KERYANA DANDI DARA,0.0,0.0,True
Customer,100420,ASIF TRADERS SANGREELA,0.0,0.0,True
Customer,100422,ANSAR KERYANA STORE BURNALA,0.0,0.0,True
Customer,100423,ATTAR SUPER STORE MANUCHAK,0.0,0.0,True
Customer,100424,EHTISHAM TRADERS KUNJAH,0.0,0.0,True
Customer,100427,DOCTOR KARYANA BAHIRILLA SHARIF,0.0,0.0,True
Customer,100430,ARIF TRADERS KARIYANWALA,0.0,0.0,True
Customer,100431,GHULAM NABI KERYANA KARIYWALA,0.0,0.0,True
Customer,100433,SAHE TRADERS MANGOWAL,0.0,0.0,True
Customer,100434,LABAIK KARWANA STORE KARIYWALA,0.0,0.0,True
Customer,100436,ASHFAQ BUTT BAKHRIYANWALI,0.0,0.0,True
Customer,100440,NADEEM MALIK LALAMUSA,0.0,0.0,True
Customer,100441,IMRAN SAMRAN FATEHPUR,0.0,0.0,True
Customer,100442,AL HAMMAD TRADERS BAGOWAL,0.0,0.0,True
