10055,2020-02-08 00:00,'200032','V','TACTIC TRADERS KARACHI','JODIYA BAZAR','KARACHI',0,1295000,'1','1','HAMMAD',2020-02-09 21:39:19.271000,,'SODIUM SULPHATE 925 BAGS',55,'KARACHI','01','400001','PURCHASE A/C'
10056,2020-02-10 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,57200,'1','1','HAMMAD',2020-02-10 13:01:30.739000,'GAT-1023','BILL NO. 187',56,'DINGA','01','400001','PURCHASE A/C'
10057,2020-02-10 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-02-10 13:42:44.003000,'TKN-246 ',,57,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10058,2020-02-02 00:00,'200027','V','SHAHEEN PAPER MILLS GUJRANWALA','GUJRANWALA','GUJRANWALA',0,359216,'1','1','Admin',2020-02-10 14:10:49.044000,,,58,'GUJRANWALA','01','400001','PURCHASE A/C'
10059,2020-02-10 00:00,'200034','V','NEWAGE CHEMICALS',,,0,37500,'1','1','Admin',2020-02-10 17:26:13.029000,,,59,,'01','400001','PURCHASE A/C'
10060,2020-01-14 00:00,'200037','V','MISC VENDOR',,,0,27180,'1','1','HAMMAD',2020-02-10 17:58:52.977000,,'SILICATE 5 DRUMS PUR FROM SHAFI SONS',60,,'01','400001','PURCHASE A/C'
10061,2020-01-08 00:00,'200037','V','MISC VENDOR',,,0,43128,'1','1','HAMMAD',2020-02-10 20:54:09.118000,'FROM SHAFI SONS','SHAFI SONS',61,,'01','400001','PURCHASE A/C'
10062,2020-01-23 00:00,'200037','V','MISC VENDOR',,,0,11322,'1','1','HAMMAD',2020-02-10 21:05:22.649000,'PURCHASED FROM SHAFI SONS 2 DRUM','SHAFI SONS',62,,'01','400001','PURCHASE A/C'
10063,2020-01-26 00:00,'200037','V','MISC VENDOR',,,0,32706,'1','1','HAMMAD',2020-02-10 21:07:09.455000,'6 DRUM FROM SHAFI SONS','SHAFI SONS',63,,'01','400001','PURCHASE A/C'
10064,2020-02-01 00:00,'200037','V','MISC VENDOR',,,0,22014,'1','1','HAMMAD',2020-02-10 21:08:29.673000,'4 DRUMS FROM SHAFI SONS','SHAFI SONS',64,,'01','400001','PURCHASE A/C'
10065,2020-02-04 00:00,'200037','V','MISC VENDOR',,,0,32436,'1','1','HAMMAD',2020-02-10 21:09:29.809000,'6 DRUM FROM SHAFI SONS','SHAFI SONS',65,,'01','400001','PURCHASE A/C'
10066,2020-02-06 00:00,'200037','V','MISC VENDOR',,,0,16398,'1','1','HAMMAD',2020-02-10 21:10:19.273000,'3 DRUM FROM SHAFI SONS','SHAFI SONS',66,,'01','400001','PURCHASE A/C'
10067,2020-02-11 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','HAMMAD',2020-02-11 09:22:59.101000,,'LEI-4695',67,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10068,2020-01-07 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,102743,'1','1','Admin',2020-02-11 11:43:22.526000,,,68,'GUJRANWALA','01','400001','PURCHASE A/C'
10069,2020-01-09 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,44650,'1','1','Admin',2020-02-11 11:44:22.661000,,,69,'GUJRANWALA','01','400001','PURCHASE A/C'
10070,2020-01-10 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,303620,'1','1','Admin',2020-02-11 11:45:03.654000,,,70,'GUJRANWALA','01','400001','PURCHASE A/C'
10071,2020-01-15 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,167675,'1','1','Admin',2020-02-11 11:46:07.877000,,,71,'GUJRANWALA','01','400001','PURCHASE A/C'
10072,2020-01-27 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,37632,'1','1','Admin',2020-02-11 11:46:43.733000,,,72,'GUJRANWALA','01','400001','PURCHASE A/C'
10073,2020-01-28 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,189875,'1','1','Admin',2020-02-11 11:47:42.646000,,,73,'GUJRANWALA','01','400001','PURCHASE A/C'
10074,2020-02-06 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,489773,'1','1','Admin',2020-02-11 11:49:22.750000,,,74,'GUJRANWALA','01','400001','PURCHASE A/C'
10075,2020-02-06 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,265288,'1','1','Admin',2020-02-11 11:49:55.629000,,,75,'GUJRANWALA','01','400001','PURCHASE A/C'
10076,2020-02-06 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,726180,'1','1','Admin',2020-02-11 11:50:52.366000,,,76,,'01','400001','PURCHASE A/C'
